race,gender,birth_year_in_5_year_units,avg_unit_allegations_per_officer_per_year,sd_unit_allegations_per_officer_per_year
Black,M,1955,0.6856599711804897,0.5550916082627046
Black,M,1955,0.6959575750067118,0.5930921916469671
Black,M,1955,0.854160820518531,0.6668483815062173
Black,M,1955,0.9150498051668764,0.8387241039438382
Black,M,1960,0.834076360172727,1.0061633861775965
Black,M,1960,0.8595636029738505,0.5566324221516817
Black,M,1960,0.9475089910485462,0.9195155466862176
Black,M,1960,0.8980502892122816,0.6808608522678338
Black,M,1960,1.0798384453982186,1.035465353635093
Black,M,1965,1.1242488249159448,1.015613816095656
Black,M,1965,1.0662818594449028,0.9701498286473705
Black,M,1965,1.257962758428597,0.9545157781201361
Black,M,1965,1.5360053103599298,1.6082010988206616
Black,M,1965,1.462362463924964,1.1290662669310878
Black,M,1970,2.001330019187162,2.493469247531051
Black,M,1970,2.3423600035442145,3.528703542006591
Black,M,1970,1.226875901875902,0.7125497885409975
Black,M,1970,0.6328808446455505,0.5478427857625007
Black,M,1970,0.6642857142857143,0.9286813121797147
Black,M,1975,1.5206552706552705,0.5004229102452272
Black,M,1975,0.5773809523809523,0.7767343989618408
Black,M,1975,0.9638888888888889,0.43153826846282856
Black,M,1975,0.5241301907968574,0.40692199844214927
Black,M,1975,0.8454545454545455,0.22636181087252238
Black,M,1980,0,0
Black,M,1980,0,0
Black,M,1980,0,0
Black,M,1985,0.1111111111111111,
Black,M,1985,0,0
Black,M,1985,0,0
Black,M,1985,0,0
Black,M,1990,0,
Black,M,1990,0,
Black,M,1990,0,
Hispanic,F,1940,0.5454545454545454,
Hispanic,F,1940,1,
Hispanic,F,1945,0.28361344537815125,0.09804421755947929
Hispanic,F,1945,0.13675258075258076,0.04268207618981899
Hispanic,F,1945,0.1531669479945342,0.18169405931845514
Hispanic,F,1945,0.25443841872413303,0.48756777610456253
Hispanic,F,1950,0.30005827505827515,0.21432812552099315
Hispanic,F,1950,0.43945434537131167,0.23148335444827559
Hispanic,F,1950,0.39088428040997214,0.4119749569121582
Hispanic,F,1950,0.1322064393939394,0.14028439610005744
Hispanic,F,1950,0.2726246224330515,0.29795445478658533
Hispanic,F,1955,0.13704761904761903,0.1543211305617882
Hispanic,F,1955,0.22044670846394987,0.21962391379824867
Hispanic,F,1955,0.4808424908424908,0.5931127602012247
Hispanic,F,1955,0.3678977272727273,0.2914570105809625
Hispanic,F,1955,0.40505353620738244,0.31476059488453784
Hispanic,F,1960,0.430313547476557,0.41913475439591025
Hispanic,F,1960,0.553467052660601,0.38484761829698505
Hispanic,F,1960,0.2756347396132342,0.1686005578908477
Hispanic,F,1960,0.15656565656565655,0.12833447539002787
Hispanic,F,1960,0.643309603030565,0.5221943114257278
Hispanic,F,1965,0.5568181818181819,0.3611221478853057
Hispanic,F,1965,0.489057239057239,0.24174374889944794
Hispanic,F,1965,0.225,0.16686627165811518
Hispanic,F,1965,0.9449404761904762,0.693094634882203
Hispanic,F,1965,1.561904761904762,2.112225508471919
Hispanic,F,1970,0.24500000000000002,0.26949025956423733
Hispanic,F,1970,0.5538461538461539,0.46600403787264494
Hispanic,F,1970,1.6666666666666667,2.081665999466133
Hispanic,F,1970,0.6988304093567251,0.6947198592052677
Hispanic,F,1970,0.375,0.47871355387816905
Hispanic,F,1975,0.05555555555555555,0.1111111111111111
Hispanic,F,1975,0.6666666666666666,
Hispanic,F,1975,0.9285714285714286,
Hispanic,F,1975,0.3125,0.3145764348029479
Hispanic,F,1975,0.4166666666666667,0.5204164998665332
Hispanic,F,1980,1.25,1.0606601717798212
Hispanic,F,1980,0,
Hispanic,F,1985,0,
Hispanic,F,1985,0.16666666666666666,0.23570226039551584
Hispanic,F,1985,0,
Hispanic,F,1985,0,
Hispanic,M,1915,0.06451612903225806,
Hispanic,M,1920,0,
Hispanic,M,1920,0,0
Hispanic,M,1920,0,
Hispanic,M,1925,0,
Hispanic,M,1925,0,0
Hispanic,M,1925,0,0
Hispanic,M,1925,0,
Hispanic,M,1925,0.03571428571428571,0.050507627227610534
Hispanic,M,1930,0.03225806451612903,0.045619792334615966
Hispanic,M,1930,0.012195121951219513,0.02439024390243903
Hispanic,M,1930,0,0
Hispanic,M,1930,0.018333333333333333,0.021343747458109498
Hispanic,M,1930,0.011904761904761904,0.020619652471058063
Hispanic,M,1935,0.07327302631578947,0.10987872069329781
Hispanic,M,1935,0.04943855413511025,0.059211434016768545
Hispanic,M,1935,0.06666666666666667,0.047140452079103175
Hispanic,M,1935,0.09950807092108627,0.08482886179887958
Hispanic,M,1935,0.08565934065934067,0.06867092717480874
Hispanic,M,1940,0.24808860613479383,0.28808947535480095
Hispanic,M,1940,0.13712886905001875,0.15276188094978324
Hispanic,M,1940,0.16491763603623463,0.1602901240614759
Hispanic,M,1940,0.3652281798176056,0.5960623525775457
Hispanic,M,1940,0.15373867713250652,0.17227126003152743
Hispanic,M,1945,0.29142216500927826,0.2270337878036984
Hispanic,M,1945,0.26628212911436466,0.23293253160805658
Hispanic,M,1945,0.22130981413871928,0.2422655064823723
Hispanic,M,1945,0.2531400292904615,0.252304403584972
Hispanic,M,1945,0.4065995692640651,0.4462886738864708
Hispanic,M,1950,0.293619188808083,0.3502603637223668
Hispanic,M,1950,0.4091138023303571,0.3329705290903412
Hispanic,M,1950,0.46620564210417365,0.37960438105984695
Hispanic,M,1950,0.5216769796420471,0.5151736948416255
Hispanic,M,1950,0.3650984261006735,0.33964134197429546
Hispanic,M,1955,0.607258766935491,0.49577791105997826
Hispanic,M,1955,0.6755424933039635,0.6052159549786952
Hispanic,M,1955,0.8426479656950457,0.576316592068552
Hispanic,M,1955,0.6724649039601441,0.63337346471785
Hispanic,M,1955,0.7568593734535977,0.5754827403533688
Hispanic,M,1960,0.6683071792883227,0.41380921092852196
Hispanic,M,1960,0.8096890684476356,0.6645392313488765
Hispanic,M,1960,0.7046341384521942,0.5855291552464671
Hispanic,M,1960,0.9315844132289754,0.5225753965760684
Hispanic,M,1960,0.9010440270485248,0.7322235897298369
Hispanic,M,1965,1.2857072554302975,1.2097794462310136
Hispanic,M,1965,0.9113655462184873,0.5785812698970602
Hispanic,M,1965,0.7879930118900708,0.9483061555862876
Hispanic,M,1965,1.626295077471548,1.2710454857384967
Hispanic,M,1965,1.319227324962619,0.9889727167425502
Hispanic,M,1970,1.3434790903540903,1.0144636151860273
Hispanic,M,1970,1.560387231815803,1.1981487767860983
Hispanic,M,1970,0.713109668109668,0.5959959727672782
Hispanic,M,1970,0.7441558441558441,0.6922633050779796
Hispanic,M,1970,0.4492084304584304,0.29758903913440204
Hispanic,M,1975,0.5431017447464815,0.645568204977756
Hispanic,M,1975,1.853030303030303,2.158064615200214
Hispanic,M,1975,1.4150703463203465,2.242850887944764
Hispanic,M,1975,0.4916666666666667,0.6306412080837513
Hispanic,M,1975,0.921875,0.6909410637467052
Hispanic,M,1980,0.7007631257631258,0.5896149597952032
